time_local,cpm_mean,cpm_min,cpm_max,cpm_median,n,usv_mean,usv_min,usv_max,usv_median
2026-09-24T18:00:00,14.5333,6.0,26.0,14.0,60,0.0945,0.039,0.169,0.091
2026-09-24T19:00:00,15.2167,6.0,27.0,15.0,60,0.0989,0.039,0.176,0.097
2026-09-24T20:00:00,14.0333,7.0,25.0,13.0,60,0.091,0.045,0.162,0.084
2026-09-24T21:00:00,15.15,5.0,25.0,15.0,60,0.0984,0.032,0.162,0.097
2026-09-24T22:00:00,13.75,7.0,26.0,13.0,60,0.0893,0.045,0.169,0.084
2026-09-24T23:00:00,14.1833,4.0,22.0,14.0,60,0.0921,0.026,0.143,0.091
2026-09-25T00:00:00,16.0833,3.0,29.0,15.0,60,0.1045,0.02,0.189,0.097
2026-09-25T01:00:00,15.5833,10.0,24.0,15.0,60,0.1013,0.065,0.156,0.097
2026-09-25T02:00:00,14.6167,6.0,25.0,14.0,60,0.0949,0.039,0.162,0.091
2026-09-25T03:00:00,14.5333,6.0,25.0,15.0,60,0.0944,0.039,0.162,0.097
2026-09-25T04:00:00,15.6,6.0,25.0,15.5,60,0.1013,0.039,0.162,0.1005
2026-09-25T05:00:00,14.3167,7.0,24.0,14.0,60,0.093,0.045,0.156,0.091
2026-09-25T06:00:00,14.0333,6.0,22.0,14.0,60,0.0911,0.039,0.143,0.091
2026-09-25T07:00:00,15.1321,6.0,24.0,16.0,53,0.0982,0.039,0.156,0.104
